var,bucket,n,mean_var,o15_mean,o15_up,o30_mean,o30_med,o30_up,o60_mean,o60_up,omfe,omae,u30_mean,u30_up
premium,"(86.138, 114.55]",135,100.47222222222223,0.4925256815517535,34.81481481481482,2.66448589522827,1.5503875968992311,56.2962962962963,4.238396470983524,58.51851851851851,24.01797949572853,-17.46068519052428,0.05500187728987001,68.14814814814815
premium,"(114.55, 157.012]",135,135.6517037037037,-0.1506394246839184,39.25925925925926,-0.533468744468725,-1.4672844706543131,44.44444444444444,-1.1418230072686237,41.48148148148148,15.330804757501102,-14.777101512153466,-0.0001005880830168323,45.925925925925924
premium,"(157.012, 242.55]",135,185.06651851851848,-0.33979371343491777,47.40740740740741,0.7689270905435112,-0.45440775522568916,47.40740740740741,1.7782116190018344,48.888888888888886,15.666039941162987,-15.083121725896177,0.029304029737782848,51.85185185185185
u_past15,"(-1.2519999999999998, -0.0904]",135,-0.19843569993956964,0.21481899234940569,41.48148148148148,0.0932885014153516,-1.1023622047244095,45.18518518518518,0.5895944772665067,46.666666666666664,28.08791205364482,-24.701778665638273,0.03818075990209567,55.55555555555556
u_past15,"(-0.0904, -0.00662]",135,-0.04626222393692381,-1.8187281670622104,35.55555555555556,-2.193006508871146,0.11352348517099232,50.37037037037037,-2.896196047418301,42.96296296296296,21.3625919705789,-19.730007988539022,0.014363386105318695,54.074074074074076
u_past15,"(-0.00662, 0.0748]",135,0.03289844071080291,-1.0940484958921082,32.592592592592595,-0.9063440911612448,-1.263042284459079,47.40740740740741,0.5280981444697149,50.37037037037037,22.50947913797573,-18.478964370175298,0.014312532070815568,54.074074074074076
u_past15,"(0.0748, 1.634]",135,0.18316461667190206,0.018456167494925898,40.0,2.197566423951841,-0.33619723571160903,45.925925925925924,0.2631444010595465,48.148148148148145,25.04858234535786,-18.656938040608825,0.033067462353323154,60.74074074074074
u_past30,"(-1.1589999999999998, -0.141]",135,-0.31517377103414596,1.0299385353740895,40.0,0.12048551089950016,0.0,49.629629629629626,-0.655795940065954,42.96296296296296,27.679214444956553,-24.01585260708017,0.02169216756510315,54.81481481481482
u_past30,"(-0.141, -0.0177]",135,-0.07376365573215485,-2.443708040090944,34.074074074074076,-0.5557870058802465,-1.6026992830029452,43.7037037037037,-0.5613662169624751,42.96296296296296,21.79451446348149,-20.242948325829072,0.0269175207094254,53.333333333333336
u_past30,"(-0.0177, 0.0983]",135,0.041156992354323005,-1.3674072893655533,32.592592592592595,-2.4239337657415,-0.6704980842911904,48.148148148148145,-1.4284508011049226,51.11111111111111,24.14851685166962,-20.171754635455944,0.02532898331253024,56.2962962962963
u_past30,"(0.0983, 1.656]",135,0.25947811867650794,0.10167529097242112,42.96296296296296,2.0507395860570474,-0.2861230329041461,47.40740740740741,1.1231314205067089,51.11111111111111,23.386319747449654,-17.137133496596235,0.02598546884449432,60.0
resp15,"(-15872.77, -0.432]",134,-376.22447541117685,-1.6151400234606195,41.04477611940299,1.647138072787155,0.09682584514960214,51.49253731343284,-0.8288849625672428,47.76119402985074,26.534452968148,-21.906895733327513,0.02557605657270876,55.223880597014926
resp15,"(-0.432, 11.615]",133,1.0503649729406201,0.26607564156668984,8.270676691729323,0.9346486332574847,0.0,49.62406015037594,1.4438889306759977,48.87218045112782,21.707658080443657,-16.01336177260391,0.04383567814931472,61.65413533834586
