i,timestamp,direction,spot,open,high,low,prev_open,prev_high,prev_low,prev_close,ema20,ema50,rsi,ema_sep_pct,body_pct,upper_wick,lower_wick,close_loc,range_vs_atr,pullback_depth_pct,band_pos,sig_bull,prev_bull,u5,u10,u15,u30,u60,next_dirs,contract_found,premium,option_atr,strike,strike_dist,expiry,dte,instrument_key,o5,o10,o15,o30,o60,opt_next_dirs
1859,2024-11-06T13:10:00+05:30,CE,24457.25,24434.45,24466.95,24434.35,24427.35,24441.4,24424.65,24434.7,24416.76083,24352.760586,61.9081,0.2628048831424541,0.6993865030674156,0.29754601226994104,0.0030674846626434385,0.702453987730059,1.5181609538410699,-0.07203727850087348,0.8733540436116035,True,True,-0.03393676721626214,-0.024941479520381664,-0.01328849318709176,0.03311901378936121,0.11223665784174724,"down,up,up",True,89.6,10.44397,24450.0,-7.25,2024-11-07,1.0,NSE_FO|50394|07-11-2024,0.0,-5.636160714285712,-5.636160714285712,-1.0044642857142763,3.515625000000006,"flat,down,flat"
1881,2024-11-06T15:00:00+05:30,CE,24490.0,24464.95,24496.8,24464.95,24463.35,24470.65,24455.15,24464.95,24475.279023,24428.165954,49.8818,0.19286371759843288,0.7864992150706567,0.21350078492934327,0.0,0.7864992150706567,1.4875539606111845,0.04220186004944821,0.8098878555280912,True,True,-0.03327888934259475,-0.07492854226214186,-0.017149857084527265,-0.1447529603919997,-0.5024499795835005,"down,down,up",True,72.45,12.425508,24500.0,10.0,2024-11-07,1.0,NSE_FO|50396|07-11-2024,0.0,-7.5224292615597,-7.5224292615597,-8.088336783988957,-38.026224982746726,"flat,down,flat"
1884,2024-11-06T15:15:00+05:30,CE,24485.8,24470.95,24494.65,24470.9,24481.65,24482.15,24463.0,24471.65,24476.480598,24434.007873,51.0834,0.17382627205802254,0.6252631578946756,0.37263157894746035,0.002105263157864101,0.6273684210525396,1.1338125039802787,0.022799838308669357,0.8206667564951905,True,False,0.04267779692720159,0.033080397618220285,-0.12762499081100065,-0.5088663633616158,-1.081647322121387,"up,down,down",True,66.59,11.042923,24500.0,14.200000000000728,2024-11-07,1.0,NSE_FO|50396|07-11-2024,0.0,1.9672623517044634,1.9672623517044634,-32.57245832707614,-67.41252440306353,"flat,up,flat"
1885,2024-11-06T15:20:00+05:30,CE,24496.25,24485.5,24496.25,24483.8,24470.95,24494.65,24470.9,24485.8,24478.363398,24436.44874,55.2587,0.1715251608200804,0.8634538152609937,0.0,0.1365461847390063,1.0,0.6120915063528082,-0.0222098263335781,0.8456721257408809,True,True,-0.009593305097713098,-0.17023013726591102,-0.4047558299739815,-0.632954023575034,-1.112619278460986,"down,down,down",True,67.9,9.955633,24500.0,3.75,2024-11-07,1.0,NSE_FO|50396|07-11-2024,0.0,3.9617083946980816,3.9617083946980816,-45.58173784977909,-73.56406480117819,"flat,up,flat"
1908,2024-11-07T11:00:00+05:30,PE,24239.1,24253.5,24260.35,24235.6,24232.25,24257.6,24231.25,24252.7,24270.51054,24335.063777,39.7845,0.26526841101198106,0.5818181818182406,0.276767676767618,0.1414141414141414,0.1414141414141414,0.8425293281906024,-0.04186372587117718,0.14340904118267642,False,True,-0.07013461720938484,-0.02434083773736573,-0.18544417903303792,-0.09241267208765103,-0.16894191616024148,"down,up,down",True,45.0,14.871263,24250.0,10.900000000001455,2024-11-07,0.0,NSE_FO|50387|07-11-2024,0.0,27.44444444444445,27.44444444444445,95.55555555555556,29.666666666666668,"flat,up,flat"
1917,2024-11-07T11:45:00+05:30,PE,24209.85,24217.55,24218.1,24206.5,24219.1,24226.65,24216.4,24217.75,24237.340268,24298.704223,38.7045,0.2525400302700771,0.6637931034484219,0.0474137931033915,0.28879310344818665,0.28879310344818665,0.47404418083586264,-0.079382753170338,0.12256513712758978,False,False,0.00929373787941685,-0.01755483821667627,-0.04832743697295559,-0.05080576707414243,0.08364364091475164,"up,down,down",True,26.8,10.187655,24200.0,-9.849999999998545,2024-11-07,0.0,NSE_FO|50384|07-11-2024,0.0,-2.9850746268656745,-2.9850746268656745,4.104477611940291,-8.768656716417915,"flat,down,flat"
1922,2024-11-07T12:10:00+05:30,PE,24198.85,24208.0,24211.4,24197.0,24197.15,24209.0,24193.25,24207.55,24224.202593,24281.58154,38.5514,0.23630646506890354,0.6354166666667035,0.2361111111111883,0.1284722222221082,0.1284722222221082,0.6727529316260852,-0.0528504207758726,0.13730532179118451,False,True,-0.005372156114853691,0.08016909894479059,0.09587232451129177,0.13492376703852232,0.09091341117449797,"down,up,up",True,23.6,8.069656,24200.0,1.1500000000014552,2024-11-07,0.0,NSE_FO|50384|07-11-2024,0.0,3.6016949152542286,3.6016949152542286,-42.58474576271187,-65.04237288135593,"flat,up,flat"
1926,2024-11-07T12:30:00+05:30,PE,24216.15,24222.15,24227.55,24213.5,24218.6,24235.15,24218.6,24222.05,24220.906144,24271.557291,45.6922,0.208685196391507,0.42704626334521784,0.3843416370105407,0.18861209964424144,0.18861209964424144,0.688086952250305,0.027430253684561645,0.1819056964914219,False,True,0.020027956549651966,0.06338745011076717,0.05760618430261247,-0.007433056039060339,-0.08837077735313605,"up,up,down",True,14.4,6.814059,24200.0,-16.150000000001455,2024-11-07,0.0,NSE_FO|50384|07-11-2024,0.0,-26.041666666666668,-26.041666666666668,-43.75000000000001,-37.15277777777777,"flat,down,flat"
1930,2024-11-07T12:50:00+05:30,PE,24219.95,24230.75,24239.05,24217.5,24231.9,24236.0,24226.65,24230.1,24222.439828,24264.762956,49.2271,0.17442217785826203,0.5011600928074077,0.38515081206494445,0.11368909512764781,0.11368909512764781,1.1129737569051124,0.06857348854181083,0.20476304918989638,False,False,-0.013625131348327607,-0.02312143501535793,-0.020644138406561534,-0.0565649392339816,-0.04582998726257561,"down,down,up",True,9.8,5.097055,24200.0,-19.950000000000728,2024-11-07,0.0,NSE_FO|50384|07-11-2024,0.0,-7.142857142857154,-7.142857142857154,-18.367346938775515,-10.20408163265306,"flat,down,flat"
1931,2024-11-07T12:55:00+05:30,PE,24216.65,24220.55,24223.55,24213.55,24230.75,24239.05,24217.5,24219.95,24221.888416,24262.876174,45.5368,0.16893198360350045,0.38999999999978174,0.3,0.31000000000021827,0.31000000000021827,0.5349370603753503,0.0068598449941669245,0.17047769166343027,False,False,-0.009497597727195587,-0.007019963537486512,0.017343439327888413,-0.07598078181747457,-0.03489334817161221,"down,up,up",True,9.1,4.835726,24200.0,-16.650000000001455,2024-11-07,0.0,NSE_FO|50384|07-11-2024,0.0,-0.5494505494505377,-0.5494505494505377,-25.274725274725274,13.736263736263737,"flat,down,flat"
2174,2024-11-12T14:25:00+05:30,PE,23921.4,23960.45,23964.85,23908.65,23954.1,23973.6,23949.65,23958.85,23973.067018,24037.915882,39.236,0.2697773980004628,0.6948398576512685,0.07829181494658444,0.226868327402147,0.226868327402147,1.748584642075212,-0.03427603983183846,0.14762442231564382,False,True,0.20650965244508185,0.10200071902145283,0.09510312941550243,0.021528840285258456,-0.327949033083351,"up,down,down",True,91.4,15.013809,23900.0,-21.400000000001455,2024-11-14,2.0,NSE_FO|43893|14-11-2024,0.0,-21.77242888402626,-21.77242888402626,-13.741794310722103,-2.5711159737418035,"flat,down,flat"
2176,2024-11-12T14:35:00+05:30,PE,23945.8,23972.85,23992.55,23943.9,23921.75,23986.45,23919.4,23970.8,23970.274815,24031.774715,45.859,0.2559107711741833,0.5560123329907602,0.4049331963001359,0.03905447070910385,0.03905447070910385,1.3652313487648857,0.09292836720444833,0.21829353733580473,False,True,-0.006890561183998101,0.01482514678983067,-0.010440244218192753,-0.23699354375297546,-0.3610236450651084,"down,up,down",True,102.9,19.950853,23950.0,4.200000000000728,2024-11-14,2.0,NSE_FO|43895|14-11-2024,0.0,-1.74927113702625,-1.74927113702625,-0.874635568513125,29.436345966958203,"flat,down,flat"
2180,2024-11-12T14:55:00+05:30,PE,23926.55,23942.4,23951.5,23925.8,23952.15,23962.25,23941.8,23943.3,23960.312108,24018.283282,41.2355,0.24136268741341455,0.616731517509795,0.3540856031127738,0.02918287937743108,0.02918287937743108,0.8016941012939164,-0.03677793494624816,0.14623448058541763,False,False,-0.043466358501320995,-0.15672965805768072,-0.23300475831241865,-0.34940265102991674,-0.7144782678656167,"down,down,down",True,114.45,16.774,23950.0,23.450000000000728,2024-11-14,2.0,NSE_FO|43895|14-11-2024,0.0,0.1747487986020121,0.1747487986020121,23.416339012669283,37.177806902577544,"flat,up,flat"
2181,2024-11-12T15:00:00+05:30,PE,23916.15,23923.45,23936.3,23907.1,23942.4,23951.5,23925.8,23926.55,23956.106193,24014.278055,38.0589,0.2422386459704014,0.24999999999996886,0.44006849315062413,0.309931506849407,0.309931506849407,0.9167101057494402,-0.08267701286859272,0.12073499285078157,False,False,-0.11331255239661142,-0.1896208210769801,-0.18355797233250942,-0.35289960967798517,-0.8090767117617175,"down,down,up",True,88.8,14.064539,23900.0,-16.150000000001455,2024-11-14,2.0,NSE_FO|43893|14-11-2024,0.0,19.48198198198198,19.48198198198198,24.83108108108108,60.58558558558559,"flat,up,flat"
2207,2024-11-13T10:55:00+05:30,PE,23735.55,23757.75,23758.2,23728.55,23727.15,23782.25,23722.95,23758.2,23761.065384,23850.274135,44.9082,0.3740365854708793,0.7487352445193807,0.015177065767308786,0.2360876897133105,0.2360876897133105,0.7231972077807398,-0.012059156244442204,0.15996713541975285,False,True,-0.039392388210926416,-0.08152328469320722,-0.10638051361775902,-0.11333211153732616,-0.08826422813038133,"down,down,down",True,112.95,22.31003,23750.0,14.450000000000728,2024-11-14,1.0,NSE_FO|43886|14-11-2024,0.0,2.3019034971226158,2.3019034971226158,7.127047366091189,6.197432492253209,"flat,up,flat"
2208,2024-11-13T11:00:00+05:30,PE,23726.2,23735.95,23745.6,23718.25,23757.75,23758.2,23728.55,23735.55,23757.744871,23845.408482,41.5409,0.36763308569938696,0.35648994515541205,0.35283363802553314,0.2906764168190549,0.2906764168190549,0.6833467229314256,-0.051119628845013455,0.13826687286388128,False,False,-0.04214749938886126,-0.06701452402829554,-0.14899141033963376,-0.054581011708578396,-0.08808827372272617,"down,down,down",True,115.55,20.61426,23750.0,23.799999999999272,2024-11-14,1.0,NSE_FO|43886|14-11-2024,0.0,5.625270445694505,5.625270445694505,13.846819558632639,-1.6010385114668926,"flat,up,flat"
2209,2024-11-13T11:05:00+05:30,PE,23716.2,23726.2,23732.15,23711.05,23735.95,23745.6,23718.25,23726.2,23753.788217,23840.341483,40.2008,0.36305380131286347,0.4739336492890505,0.2819905213270195,0.24407582938392997,0.24407582938392997,0.5456155267181506,-0.09109375229890185,0.11605902650061001,False,False,-0.024877509887762182,-0.10688896197536782,0.0025299162597656657,-0.004216527099619669,-0.11152714178494331,"down,down,up",True,96.85,16.518256,23700.0,-16.200000000000728,2024-11-14,1.0,NSE_FO|43883|14-11-2024,0.0,-0.10325245224573497,-0.10325245224573497,-7.640681466184813,-6.504904491481669,"flat,down,flat"
2210,2024-11-13T11:10:00+05:30,PE,23710.3,23715.4,23727.5,23702.1,23726.2,23732.15,23711.05,23716.2,23749.646482,23835.241817,38.7607,0.3591125093555755,0.2007874015748776,0.47637795275582095,0.3228346456693015,0.3228346456693015,0.6733127405668609,-0.09324973328249352,0.11486125928750189,False,False,-0.08203185957158167,0.027414246129319326,-0.006959000940510315,-0.10860259043538041,-0.11007874215002993,"down,up,down",True,96.75,15.923394,23700.0,-10.299999999999272,2024-11-14,1.0,NSE_FO|43883|14-11-2024,0.0,8.2687338501292,8.2687338501292,-1.550387596899225,14.21188630490956,"flat,up,flat"
2216,2024-11-13T11:40:00+05:30,PE,23684.55,23715.4,23718.45,23682.8,23712.7,23723.6,23706.5,23715.2,23729.258203,23807.396531,41.6229,0.32821030177849175,0.8653576437587917,0.08555399719492701,0.0490883590462813,0.0490883590462813,1.0810996369325183,-0.04554800199626157,0.14136222111318783,False,True,0.12413155411439716,0.09077647664827916,0.1268759592223592,-0.0014777565965937492,-0.021744132778532068,"up,down,up",True,110.5,15.071559,23700.0,15.450000000000728,2024-11-14,1.0,NSE_FO|43883|14-11-2024,0.0,-18.5972850678733,-18.5972850678733,-25.067873303167428,-7.918552036199094,"flat,down,flat"
