i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
1323,PE,E_Full_V9,0.03856720750609055,0.02799232802861429,-0.011818982945399625,0.02405266704680331,0.07547561038826478,-0.03856720750609055,0.011818982945399625,0.07547561038826478,-0.06801098958064689,0.0,3.1746031746031784,4.8590864917395535,7.48299319727892,0.5442176870748322,10.463232912212508,-8.850016196954972,True
1335,PE,E_Full_V9,0.048764190898320514,0.01058286696090649,-0.10686620558568727,-0.20045195067137644,-0.46730620384263233,-0.048764190898320514,0.10686620558568727,0.048764190898320514,-0.46730620384263233,0.0,4.511278195488721,-0.36090225563909434,1.954887218045113,-13.774436090225567,9.052631578947375,-14.736842105263156,True
1379,CE,E_Full_V9,0.0018421596661211126,-0.037866615359105626,0.21553268093590372,0.2100062019375626,0.09804383111899906,0.0018421596661211126,0.21553268093590372,0.24910092374073045,-0.037866615359105626,0.0,2.916869227029655,-5.104521147301896,-3.5974720466698966,30.432668935342743,35.14827418570734,-11.08410306271268,True
1389,CE,E_Full_V9,-0.0357307656184247,-0.25746568825620875,-0.3179017261022543,-0.25746568825620875,-0.21908063719184856,-0.0357307656184247,-0.3179017261022543,-0.0357307656184247,-0.3179017261022543,,,,,,,,False
1399,CE,E_Full_V9,-0.07626236707755085,-0.17583280344959373,-0.20527457518999537,-0.26150018094422967,-0.30075587659808,-0.07626236707755085,-0.20527457518999537,-0.07626236707755085,-0.33530906704341,0.0,-12.258842443729904,-22.30707395498392,-19.011254019292608,-24.55787781350483,3.4485530546623724,-26.04501607717042,True
1440,PE,E_Full_V9,-0.026678192748907925,0.08623880911855508,-0.01178803865651279,-0.00661784626330153,-0.017371846441149863,0.026678192748907925,0.01178803865651279,0.08623880911855508,-0.12036207891368278,0.0,0.0,-1.6026992830029452,6.4951497258540725,10.662167861661747,22.14255588359343,-22.943905525094898,True
1586,PE,E_Full_V9,0.08568821436883978,0.04510990131436632,0.081362607393487,0.0751831688572735,0.08610017693791994,-0.08568821436883978,-0.081362607393487,0.15592783239714025,0.030279248827447258,0.0,0.0,39.043824701195206,39.043824701195206,0.7968127490039812,43.42629482071712,-17.92828685258964,True
1593,PE,E_Full_V9,-0.010934057319200718,-0.12295656909910857,-0.040022775847692316,-0.02929502149675578,-0.020836599796991706,0.010934057319200718,0.040022775847692316,-0.010934057319200718,-0.12295656909910857,0.0,0.0,4.411764705882353,4.411764705882353,-13.970588235294118,7.05882352941176,-28.97058823529412,True
1704,PE,E_Full_V9,0.010684006879657648,-0.12171388229575975,-0.0356133562655403,-0.06368506061602552,-0.11752407567628964,-0.010684006879657648,0.0356133562655403,0.03959367255405022,-0.16026010319494244,0.0,2.055902055902064,-7.599907599907595,-8.893508893508894,-4.088704088704087,3.9270039270039274,-13.559713559713558,True
1711,PE,E_Full_V9,0.011100545811748574,-0.037281078386608435,-0.10974879255383208,-0.2329020177860075,-0.2571975520154757,-0.011100545811748574,0.10974879255383208,0.011100545811748574,-0.2676697650454196,0.0,0.24330900243309003,-0.7299270072992701,-1.6301703163017003,-5.401459854014596,2.068126520681265,-13.990267639902676,True
1814,CE,E_Full_V9,-0.07168134867737708,0.010474924878378644,0.0490883734495684,0.14541660419367108,-0.07825385056183798,-0.07168134867737708,0.0490883734495684,0.2507820250289283,-0.07825385056183798,0.0,-7.313707451701934,-1.8859245630174766,7.175712971481138,1.6559337626494914,19.595216191352343,-22.95308187672493,True
1822,CE,E_Full_V9,-0.10510184430176928,-0.1581649586763434,-0.3112079951157365,-0.235608422898681,-0.19873058279279432,-0.10510184430176928,-0.3112079951157365,-0.10510184430176928,-0.4320853599072305,0.0,-8.889912482726846,-18.332565637954854,-32.05895900506679,-30.631045601105484,6.725011515430674,-51.17457392906495,True
1831,CE,E_Full_V9,0.05667956332091606,0.03696493260061384,0.07701027625126589,0.14108282609230915,0.3199520277318957,0.05667956332091606,0.07701027625126589,0.3199520277318957,0.02258968103370229,0.0,-0.7115749525616698,-4.316888045540807,-0.04743833017078877,-2.2770398481973486,8.159392789373808,-23.244781783681212,True
1842,CE,E_Full_V9,0.1315940508010316,0.19083187117721057,0.09121394486988343,0.17197415673220195,0.10802190774477083,0.1315940508010316,0.09121394486988343,0.19452142400342431,0.07051145401177905,0.0,24.105668684645025,26.912493120528346,22.61970280682445,5.72372041827188,37.259218492019826,-4.788112272977429,True
1851,CE,E_Full_V9,0.022508558367762,-0.06384245646129383,-0.031921228230658016,0.056476019177287284,0.13423285717499844,0.022508558367762,-0.031921228230658016,0.13423285717499844,-0.09064810324471706,0.0,3.102625298329366,-4.5346062052505935,-9.498806682577559,-0.9546539379474906,6.563245823389022,-14.677804295942718,True
1859,CE,E_Full_V9,-0.03393676721625827,-0.013288493187091355,0.033119013789351115,0.1271606578826301,0.11223665784174663,-0.03393676721625827,0.033119013789351115,0.13145386337385379,-0.03393676721625827,0.0,-5.636160714285712,-1.0044642857142763,2.678571428571435,3.515625000000006,11.607142857142865,-12.220982142857132,True
1867,CE,E_Full_V9,0.01797095648372604,0.02225948019007884,0.18175171898324738,-0.0032674466334037255,-0.08985478241868572,0.01797095648372604,0.18175171898324738,0.18175171898324738,-0.08985478241868572,0.0,1.299545159194282,1.8063677712800528,-3.3138401559454156,33.59324236517218,49.382716049382715,-11.760883690708248,True
1885,CE,E_Full_V9,-0.009593305097710392,-0.4047558299739795,-0.6329540235750386,-0.6403020870541343,-1.1126192784609912,-0.009593305097710392,-0.6329540235750386,-0.009593305097710392,-1.1238454865540648,0.0,3.9617083946980816,-45.58173784977909,-65.8321060382916,-73.56406480117819,4.270986745213536,-74.59499263622975,True
